id,page,score,match_x,match_y,crop_x0,crop_y0,crop_x1,crop_y1
COMP-0001,comp-1-97-ans-p002.jpg,0.9985408186912537,50,289,35,234,482,408
COMP-0002,comp-1-97-ans-p002.jpg,0.9985936880111694,50,436,35,381,482,741
COMP-0003,comp-1-97-ans-p002.jpg,0.9990473389625549,50,769,35,714,482,887
COMP-0004,comp-1-97-ans-p002.jpg,0.9989184737205505,50,915,35,860,482,997
COMP-0005,comp-1-97-ans-p002.jpg,0.9990510940551758,50,1025,35,970,482,1105
COMP-0006,comp-1-97-ans-p002.jpg,0.999217689037323,50,1133,35,1078,482,1141
COMP-0007,comp-1-97-ans-p002.jpg,0.999099612236023,50,1169,35,1114,482,1240
COMP-0008,comp-1-97-ans-p002.jpg,0.9991323947906494,425,290,427,235,875,299
COMP-0009,comp-1-97-ans-p002.jpg,0.9988495111465454,425,327,427,272,875,408
COMP-0010,comp-1-97-ans-p002.jpg,0.9990242719650269,425,436,427,381,875,445
COMP-0011,comp-1-97-ans-p002.jpg,0.9991338849067688,425,473,427,418,875,482
COMP-0012,comp-1-97-ans-p002.jpg,0.9989621043205261,425,510,427,455,875,517
COMP-0013,comp-1-97-ans-p002.jpg,0.9988077878952026,425,545,427,490,875,665
COMP-0014,comp-1-97-ans-p002.jpg,0.9988359212875366,425,693,427,638,875,775
COMP-0015,comp-1-97-ans-p002.jpg,0.9990834593772888,425,803,427,748,875,811
COMP-0016,comp-1-97-ans-p002.jpg,0.9988727569580078,425,839,427,784,875,956
COMP-0017,comp-1-97-ans-p002.jpg,0.9993442893028259,425,984,427,929,875,991
COMP-0018,comp-1-97-ans-p002.jpg,0.9987597465515137,425,1019,427,964,875,1173
COMP-0019,comp-1-97-ans-p002.jpg,0.9992504119873047,427,1201,427,1146,875,1240
COMP-0020,comp-1-97-ans-p003.jpg,0.9986105561256409,50,65,35,10,482,142
COMP-0021,comp-1-97-ans-p003.jpg,0.9983790516853333,50,170,35,115,482,249
COMP-0022,comp-1-97-ans-p003.jpg,0.9983788132667542,50,277,35,222,482,532
COMP-0023,comp-1-97-ans-p003.jpg,0.9988211393356323,50,560,35,505,482,637
COMP-0024,comp-1-97-ans-p003.jpg,0.9988427758216858,50,665,35,610,482,741
COMP-0025,comp-1-97-ans-p003.jpg,0.9990664720535278,50,769,35,714,482,775
COMP-0026,comp-1-97-ans-p003.jpg,0.9990081787109375,50,803,35,748,482,810
COMP-0027,comp-1-97-ans-p003.jpg,0.9988431334495544,50,838,35,783,482,915
COMP-0028,comp-1-97-ans-p003.jpg,0.99872225522995,50,943,35,888,482,1053
COMP-0029,comp-1-97-ans-p003.jpg,0.9988563060760498,50,1081,35,1026,482,1158
COMP-0030,comp-1-97-ans-p003.jpg,0.9992908835411072,50,1186,35,1131,482,1240
COMP-0031,comp-1-97-ans-p003.jpg,0.9983635544776917,463,137,427,82,875,319
COMP-0032,comp-1-97-ans-p003.jpg,0.9983489513397217,461,347,427,292,875,565
COMP-0033,comp-1-97-ans-p003.jpg,0.9986324310302734,463,593,427,538,875,812
COMP-0034,comp-1-97-ans-p003.jpg,0.9990758299827576,463,840,427,785,875,880
COMP-0035,comp-1-97-ans-p003.jpg,0.9986473321914673,463,908,427,853,875,986
COMP-0036,comp-1-97-ans-p003.jpg,0.9986148476600647,460,1014,427,959,875,1163
COMP-0037,comp-1-97-ans-p003.jpg,0.9990730881690979,463,1191,427,1136,875,1240
COMP-0038,comp-1-97-ans-p004.jpg,0.9982094168663025,50,65,35,10,482,319
COMP-0039,comp-1-97-ans-p004.jpg,0.9985455274581909,50,347,35,292,482,424
COMP-0040,comp-1-97-ans-p004.jpg,0.9985033869743347,50,452,35,397,482,565
COMP-0041,comp-1-97-ans-p004.jpg,0.99880450963974,50,593,35,538,482,741
COMP-0042,comp-1-97-ans-p004.jpg,0.9988476634025574,50,769,35,714,482,882
COMP-0043,comp-1-97-ans-p004.jpg,0.9987668395042419,50,910,35,855,482,1055
COMP-0044,comp-1-97-ans-p004.jpg,0.9987314939498901,50,1083,35,1028,482,1240
COMP-0045,comp-1-97-ans-p004.jpg,0.998347282409668,425,171,427,116,875,424
COMP-0046,comp-1-97-ans-p004.jpg,0.998478353023529,425,452,427,397,875,741
COMP-0047,comp-1-97-ans-p004.jpg,0.9987926483154297,425,769,427,714,875,845
