id,page,col,match_y,new_y0,new_y1,segments,width,height
COMP-0001,comp-1-97-ans-p002.jpg,L,289,287,434,1,720,215
COMP-0002,comp-1-97-ans-p002.jpg,L,436,434,767,1,720,401
COMP-0003,comp-1-97-ans-p002.jpg,L,769,767,913,1,720,214
COMP-0004,comp-1-97-ans-p002.jpg,L,915,913,1023,1,720,178
COMP-0005,comp-1-97-ans-p002.jpg,L,1025,1023,1131,1,720,176
COMP-0006,comp-1-97-ans-p002.jpg,L,1133,1131,1167,1,720,104
COMP-0007,comp-1-97-ans-p002.jpg,L,1169,1167,1245,2,720,412
COMP-0008,comp-1-97-ans-p002.jpg,R,290,288,325,1,720,105
COMP-0009,comp-1-97-ans-p002.jpg,R,327,325,434,1,720,177
COMP-0010,comp-1-97-ans-p002.jpg,R,436,434,471,1,720,105
COMP-0011,comp-1-97-ans-p002.jpg,R,473,471,508,1,720,105
COMP-0012,comp-1-97-ans-p002.jpg,R,510,508,543,1,720,103
COMP-0013,comp-1-97-ans-p002.jpg,R,545,543,691,1,720,216
COMP-0014,comp-1-97-ans-p002.jpg,R,693,691,801,1,720,178
COMP-0015,comp-1-97-ans-p002.jpg,R,803,801,837,1,720,104
COMP-0016,comp-1-97-ans-p002.jpg,R,839,837,982,1,720,213
COMP-0017,comp-1-97-ans-p002.jpg,R,984,982,1017,1,720,103
COMP-0018,comp-1-97-ans-p002.jpg,R,1019,1017,1199,1,720,249
COMP-0019,comp-1-97-ans-p002.jpg,R,1201,1199,1245,2,720,155
COMP-0020,comp-1-97-ans-p003.jpg,L,65,63,168,1,720,173
COMP-0021,comp-1-97-ans-p003.jpg,L,170,168,275,1,720,175
COMP-0022,comp-1-97-ans-p003.jpg,L,277,275,558,1,720,351
COMP-0023,comp-1-97-ans-p003.jpg,L,560,558,663,1,720,173
COMP-0024,comp-1-97-ans-p003.jpg,L,665,663,767,1,720,172
COMP-0025,comp-1-97-ans-p003.jpg,L,769,767,801,1,720,102
COMP-0026,comp-1-97-ans-p003.jpg,L,803,801,836,1,720,103
COMP-0027,comp-1-97-ans-p003.jpg,L,838,836,941,1,720,173
COMP-0028,comp-1-97-ans-p003.jpg,L,943,941,1079,1,720,206
COMP-0029,comp-1-97-ans-p003.jpg,L,1081,1079,1184,1,720,172
COMP-0030,comp-1-97-ans-p003.jpg,L,1186,1184,1245,2,720,240
COMP-0031,comp-1-97-ans-p003.jpg,R,137,135,345,1,720,278
COMP-0032,comp-1-97-ans-p003.jpg,R,347,345,591,1,720,314
COMP-0033,comp-1-97-ans-p003.jpg,R,593,591,838,1,720,314
COMP-0034,comp-1-97-ans-p003.jpg,R,840,838,906,1,720,136
COMP-0035,comp-1-97-ans-p003.jpg,R,908,906,1012,1,720,174
COMP-0036,comp-1-97-ans-p003.jpg,R,1014,1012,1189,1,720,245
COMP-0037,comp-1-97-ans-p003.jpg,R,1191,1189,1245,2,720,157
COMP-0038,comp-1-97-ans-p004.jpg,L,65,63,345,1,720,350
COMP-0039,comp-1-97-ans-p004.jpg,L,347,345,450,1,720,173
COMP-0040,comp-1-97-ans-p004.jpg,L,452,450,591,1,720,209
COMP-0041,comp-1-97-ans-p004.jpg,L,593,591,767,1,720,244
COMP-0042,comp-1-97-ans-p004.jpg,L,769,767,908,1,720,209
COMP-0043,comp-1-97-ans-p004.jpg,L,910,908,1081,1,720,241
COMP-0044,comp-1-97-ans-p004.jpg,L,1083,1081,1245,2,720,369
COMP-0045,comp-1-97-ans-p004.jpg,R,171,169,450,1,720,349
COMP-0046,comp-1-97-ans-p004.jpg,R,452,450,767,1,720,385
COMP-0047,comp-1-97-ans-p004.jpg,R,769,767,871,1,720,172
COMP-0048,comp-1-97-ans-p004.jpg,R,873,871,1245,2,720,482
COMP-0049,comp-1-97-ans-p005.jpg,L,64,62,202,1,720,208
COMP-0050,comp-1-97-ans-p005.jpg,L,204,202,415,1,720,281
COMP-0051,comp-1-97-ans-p005.jpg,L,417,415,519,1,720,172
COMP-0052,comp-1-97-ans-p005.jpg,L,521,519,591,1,720,140
COMP-0053,comp-1-97-ans-p005.jpg,L,593,591,695,1,720,172
COMP-0054,comp-1-97-ans-p005.jpg,L,697,695,905,1,720,278
